time,d_id,distance
2019-12-05 05:00:16,1349573,34
2019-12-05 05:00:50,1349573,34
2019-12-05 05:01:59,1349573,34
2019-12-05 05:02:16,1349573,41
2019-12-05 05:02:19,1349573,34
2019-12-05 05:02:51,1349573,39
2019-12-05 05:02:52,1349573,38
2019-12-05 05:02:53,1349573,82
2019-12-05 05:03:02,1349573,36
